C116025	HGNC:19382
C116028	HGNC:24191
C116031	HGNC:9376
C116034	HGNC:1863
C116037	HGNC:1864
C116040	HGNC:6718
C116043	HGNC:10780
C116047	HGNC:9204
C116050	HGNC:23845
C116053	HGNC:19191
C116056	HGNC:402
C116059	HGNC:11938
C116078	HGNC:25727
C116082	HGNC:1249
C116085	HGNC:25249
C116088	HGNC:3403
C116091	HGNC:660
C116097	HGNC:28678
C116272	HGNC:9061
C116275	HGNC:6493
C116278	HGNC:16846
C116284	HGNC:33510
C116293	HGNC:9237
C116296	HGNC:23805
C116299	HGNC:24212
C116302	HGNC:5122
C116305	HGNC:6865
C116308	HGNC:11187
C116408	HGNC:29
C116411	HGNC:28084
C116414	HGNC:7467
C116417	HGNC:600
C116420	HGNC:10535
C116423	HGNC:13815
C116426	HGNC:248
C116577	HGNC:16
C116580	HGNC:4330
C116584	HGNC:6600
C116589	HGNC:6764
C116594	HGNC:10576
C116603	HGNC:602
C116606	HGNC:17866
C116609	HGNC:4196
C116612	HGNC:12558
C116615	HGNC:29814
C116620	HGNC:23163
C116631	HGNC:11422
C116634	HGNC:10290
