C40432	CHEBI:30222
C405	CHEBI:4026
C406	CHEBI:4031
C407	CHEBI:50742
C408	CHEBI:28680
C409	CHEBI:17562
C410	CHEBI:16040
C411	CHEBI:4305
C412	CHEBI:27666
C414	CHEBI:4315
C415	CHEBI:4325
C416	CHEBI:4356
C417	CHEBI:31460
C419	CHEBI:4393
C420	CHEBI:15698
C421	CHEBI:17172
C422	CHEBI:41879
C424	CHEBI:27808
C428	CHEBI:4495
C430	CHEBI:10101
C431	CHEBI:490877
C433	CHEBI:41922
C435	CHEBI:18035
C436	CHEBI:5791
C43629	CHEBI:36025
C437	CHEBI:28262
C439	CHEBI:34718
C440	CHEBI:53049
C442	CHEBI:23825
C44296	CHEBI:18918
C44297	CHEBI:28618
C44298	CHEBI:47032
C44303	CHEBI:19310
C44304	CHEBI:28755
C44311	CHEBI:27878
C44312	CHEBI:48722
C44313	CHEBI:16037
C44319	CHEBI:28124
C44320	CHEBI:32506
C44324	CHEBI:17903
C44326	CHEBI:59001
C44328	CHEBI:15343
C44329	CHEBI:28619
C44330	CHEBI:39096
C44331	CHEBI:40036
C44334	CHEBI:51348
C44338	CHEBI:52628
C44338	CHEBI:33785
C44338	CHEBI:30501
C44338	CHEBI:33783
C44339	CHEBI:49073
C44340	CHEBI:28428
C44341	CHEBI:17747
C44345	CHEBI:34591
C44346	CHEBI:51311
C44348	CHEBI:22977
C44349	CHEBI:22978
C44350	CHEBI:27385
C44352	CHEBI:16548
C44356	CHEBI:39481
C44360	CHEBI:53470
C44363	CHEBI:3682
C44364	CHEBI:16130
C44373	CHEBI:23704
C44375	CHEBI:34699
C44377	CHEBI:59050
C44381	CHEBI:37144
C44383	CHEBI:27789
C44385	CHEBI:35559
C44387	CHEBI:30966
C44388	CHEBI:5692
C44389	CHEBI:39227
C44390	CHEBI:24565
C44395	CHEBI:33585
C44396	CHEBI:27889
C44396	CHEBI:52455
C44396	CHEBI:25016
C44397	CHEBI:32888
C44399	CHEBI:25255
C44400	CHEBI:15767
C44401	CHEBI:4918
C44404	CHEBI:34852
C44405	CHEBI:51314
C44406	CHEBI:25434
C44407	CHEBI:33748
C44408	CHEBI:44557
C44409	CHEBI:51132
C44410	CHEBI:27798
C44415	CHEBI:21759
C44417	CHEBI:35807
C44427	CHEBI:7719
C44430	CHEBI:1784
C44432	CHEBI:8050
C44438	CHEBI:38685
C44441	CHEBI:30563
C44447	CHEBI:17907
C44451	CHEBI:17300
C44452	CHEBI:38866
C44454	CHEBI:32497
C44455	CHEBI:36946
C44457	CHEBI:53556
C44457	CHEBI:53555
C44459	CHEBI:16602
C445	CHEBI:4653
C447	CHEBI:4659
C448	CHEBI:35498
C449	CHEBI:16991
C454	CHEBI:31515
C45494	CHEBI:33853
